number,batch_size,corr_thresh,float_precision,limit_train_batches,log_every_n_steps,lstm_layers,max_epochs,max_prediction_length,n_splits,name,pct,reduce_on_plateau_patience,scaling_method,target,train_test_pct,val_MAPE,val_RMSE,attention_head_size,dropout,gradient_clip_val,hidden_continuous_size,hidden_size,learning_rate,duration,ckpt_path,max_encoder_length,max_study_epochs,max_train_epochs,train_loss,train_loss_epoch,train_loss_step,val_MAE,val_SMAPE,val_loss
94,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.094102457165718,15.07819366455078,13.0,0.1566109927552286,0.3926324733720659,52.0,63.0,0.19731882020763,0 days 00:03:40.131348,,,,,,,,,,
142,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0957650691270828,15.335312843322754,10.0,0.1150220459055574,0.8753854943687224,46.0,53.0,0.392692259117781,0 days 00:03:37.579357,,,,,,,,,,
69,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0964877307415008,15.442663192749023,8.0,0.1482977190135702,0.4121966732644435,52.0,69.0,0.321642393102343,0 days 00:03:40.297805,,,,,,,,,,
80,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0965026021003723,15.450339317321776,15.0,0.1170769848373688,0.2089770560729529,5.0,61.0,0.0946364457724879,0 days 00:03:30.685150,,,,,,,,,,
73,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0975915491580963,15.617403984069824,15.0,0.1143447347484574,0.9290364491594684,12.0,13.0,0.962783922046287,0 days 00:03:37.996145,,,,,,,,,,
64,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.0987332537770271,15.777400970458984,9.0,0.1260644168849789,0.5085659245506738,6.0,25.0,0.0721116271255926,0 days 00:03:29.743556,,,,,,,,,,
107,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0988733917474746,15.821730613708496,14.0,0.1058179269364616,0.4637882033656528,54.0,70.0,0.2500245985744649,0 days 00:03:40.384858,,,,,,,,,,
54,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0989836379885673,15.838716506958008,10.0,0.2259280951357431,0.5484899914058259,48.0,67.0,0.3832735144967372,0 days 00:03:39.528309,,,,,,,,,,
111,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.0999878048896789,18.11530876159668,13.0,0.1137667387454926,0.714057262783241,43.0,47.0,0.8458822010114853,0 days 00:03:40.119562,,,,,,,,,,
52,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.100743792951107,16.121057510375977,9.0,0.2016008641703538,0.806394841927365,58.0,82.0,0.6884598600380064,0 days 00:03:41.166073,,,,,,,,,,
134,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.1020952612161636,16.34349250793457,14.0,0.1427871766897336,0.5903577978681839,65.0,72.0,0.1620780544810687,0 days 00:03:39.295192,,,,,,,,,,
44,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.1024709492921829,16.386144638061523,7.0,0.1867527316900013,0.3587606796877267,45.0,74.0,0.349776304457556,0 days 00:03:40.233129,,,,,,,,,,
132,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.102906733751297,16.459976196289062,14.0,0.1652156708534193,0.4178775301408475,8.0,8.0,0.0774838011310233,0 days 00:03:14.914224,,,,,,,,,,
64,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.1029510721564292,16.47334861755371,11.0,0.1321591644670313,0.5794280628535775,39.0,57.0,0.3811627273660931,0 days 00:03:40.950093,,,,,,,,,,
156,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.1033254116773605,16.559837341308594,13.0,0.1381568562165399,0.1598405731113614,15.0,91.0,0.0756700496797713,0 days 00:03:35.140783,,,,,,,,,,
16,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.1033546477556228,18.559228897094727,4.0,0.1615276046624092,0.2272992326922996,1.0,4.0,0.2222372322272094,0 days 00:03:23.229679,,,,,,,,,,
194,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.1042489185929298,16.665555953979492,9.0,0.1603772860593425,0.7527875874829866,23.0,24.0,0.1748501718787908,0 days 00:03:36.449894,,,,,,,,,,
199,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.1042578816413879,18.675024032592773,13.0,0.1372706182584539,0.2318640489864857,18.0,37.0,0.0111016984177439,0 days 00:03:31.277948,,,,,,,,,,
149,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.1050128266215324,16.809349060058594,16.0,0.1519079666984141,0.1783813642546076,3.0,31.0,0.0513408317375207,0 days 00:03:30.232010,,,,,,,,,,
186,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.1052147969603538,16.833099365234375,12.0,0.1973572397769605,0.4159005032210506,18.0,18.0,0.3728285405734056,0 days 00:03:13.575707,,,,,,,,,,
149,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.1053174138069152,16.848285675048828,12.0,0.1209176968961839,0.746337962040785,5.0,6.0,0.822310641581608,0 days 00:03:32.027334,,,,,,,,,,
122,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.1056286692619323,16.925233840942383,16.0,0.1272758984218189,0.3344855691008795,5.0,15.0,0.0165277202499162,0 days 00:03:30.518816,,,,,,,,,,
193,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.1066594049334526,17.065204620361328,10.0,0.1774843244992432,0.37082809731646,57.0,62.0,0.3809377044495207,0 days 00:03:37.532265,,,,,,,,,,
169,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.1069083660840988,17.10675811767578,11.0,0.131293640008115,0.5530599774363002,16.0,16.0,0.0302598005084149,0 days 00:03:15.903554,,,,,,,,,,
81,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.1070418432354927,19.031333923339844,4.0,0.1264524643340773,0.3932543589989399,30.0,39.0,0.5969161754572143,0 days 00:03:38.216256,,,,,,,,,,
12,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.1071516126394271,17.140878677368164,13.0,0.1063192107225791,0.9570910988955492,1.0,10.0,0.841300628580507,0 days 00:03:31.353357,,,,,,,,,,
36,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.1081136390566825,17.295976638793945,4.0,0.1804203147437573,0.29895066256069,30.0,46.0,0.4544346289034274,0 days 00:03:38.347015,,,,,,,,,,
182,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.108225516974926,17.318395614624023,16.0,0.1139558246132538,0.5638294558527787,10.0,80.0,0.0552677095540075,0 days 00:03:37.116541,,,,,,,,,,
50,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.1083481460809707,17.335573196411133,3.0,0.1403731339283016,0.3848637452911898,23.0,33.0,0.2994794293768873,0 days 00:03:39.015694,,,,,,,,,,
75,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.1086468994617462,17.374740600585938,9.0,0.1459167763129986,0.4417365081508675,7.0,47.0,0.0607048643923529,0 days 00:03:31.135384,,,,,,,,,,
84,16,0.25,medium,30,30,1,20.0,90,7,light,False,10,z-score,Last Price,0.75,0.1088094636797905,19.323400497436523,5.0,0.1177449859269906,0.3610635884944357,47.0,60.0,0.157520305414318,0 days 00:03:38.984646,,,,,,,,,,
56,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.1092573031783104,17.50442886352539,13.0,0.1957143019254871,0.0171874937250484,8.0,98.0,0.0271616849335586,0 days 00:03:36.201703,,,,,,,,,,
111,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,z-score,Last Price,0.75,0.1098230183124542,17.623554229736328,16.0,0.1354717682516457,0.4863553526246289,5.0,21.0,0.0524662626573719,0 days 00:03:29.628099,,,,,,,,,,
25,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.1099283248186111,17.6390438079834,15.0,0.1265336013085831,0.62479104334703,5.0,25.0,0.0164894350955937,0 days 00:03:28.952253,,,,,,,,,,
63,12,0.25,medium,30,30,2,20.0,90,7,longrun,False,10,,Last Price,0.75,0.1103857681155204,17.66651725769043,7.0,0.134552424570478,0.2957264048373038,7.0,62.0,0.2245621541408773,0 days 00:03:31.319932,,,,,,,,,,
